"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_total_stolen_base","r_run","r_stolen_base_pct","woba","bacon","xbacon","xbadiff","xslgdiff","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","hard_hit_percent","meatball_percent","whiff_percent","swing_percent","batted_ball"
"Gallagher, Cam","595956","2022","29","42","47","9","4","5","0","0","13","3",27.7,6.4,".214",".333",".267","0.600","5","0","1",,".265",".310",".270",".027",".091","85.8","16.3",32.3,"0",0,6.5,25.8,7.5,22.4,48.9,"31"
"Hedges, Austin","595978","2022","29","294","338","48","37","4","0","7","78","25",23.1,7.4,".163",".248",".241","0.489","30","2","26",,".225",".219",".243","-0.017","-0.013","84.2","16.7",31.9,"7",3.1,4.4,22.3,6.7,27.1,47.6,"229"
"Lindor, Francisco","596019","2022","28","630","706","170","114","25","5","26","133","59",18.8,8.4,".270",".449",".339","0.788","107","16","98",,".342",".337",".320",".016",".022","89.3","13.8",29.2,"42",8.3,6.2,41.3,6.7,22.9,47.8,"504"
"Odor, Rougned","596059","2022","28","426","472","88","53","19","3","13","109","32",23.1,6.8,".207",".357",".275","0.632","53","6","49",,".278",".274",".279",".000",".018","87.8","21.5",30.5,"21",6.5,5.6,33.3,5.6,27.3,50.6,"321"
"Slater, Austin","596103","2022","29","277","325","73","49","15","2","7","89","40",27.4,12.3,".264",".408",".366","0.774","34","12","49",,".344",".384",".378",".005","-0.021","89","6.6",43.2,"20",10.5,6.8,39.5,6.7,31.2,45.2,"190"
"Story, Trevor","596115","2022","29","357","396","85","47","22","0","16","122","32",30.8,8.1,".238",".434",".303","0.737","66","13","53",,".316",".356",".335",".017",".037","88.9","17.8",36,"27",11.3,7.1,40.6,6.8,30.8,49.8,"239"
"Stubbs, Garrett","596117","2022","29","106","121","28","18","4","1","5","30","14",24.8,11.6,".264",".462",".350","0.812","16","2","19",,".355",".368",".289",".057",".163","85.2","15.2",33.8,"4",5.2,5.2,27.3,7.7,21.2,39.2,"77"
"Vogelbach, Daniel","596129","2022","29","386","461","92","54","19","1","18","114","73",24.7,15.8,".238",".433",".360","0.793","59","0","47",,".349",".337",".337",".002",".005","89.4","15.8",38.1,"29",10.6,7.7,39.9,6.8,20.4,32.2,"273"
"Sánchez, Gary","596142","2022","29","419","471","86","46","24","0","16","136","40",28.9,8.5,".205",".377",".282","0.659","61","2","42",,".290",".299",".323","-0.015","-0.062","90.5","14",29.2,"39",13.5,5.9,49.3,9.6,30.8,44,"288"
"Kepler, Max","596146","2022","29","388","446","88","60","18","1","9","66","49",14.8,11,".227",".348",".318","0.666","43","3","54",,".298",".270",".317","-0.039","-0.064","89.1","11.2",31.9,"23",7.1,5.2,39.9,7.6,19.9,46.1,"326"
"Quinn, Roman","596451","2022","29","79","87","17","12","3","2","0","36","7",41.4,8,".215",".304",".287","0.591","7","4","15",,".266",".395",".346",".027",".036","91.3","23.3",30.2,"2",4.7,7,41.9,8.1,34.6,46.7,"43"
"Franco, Maikel","596748","2022","29","371","388","85","61","15","0","9","75","12",19.3,3.1,".229",".342",".255","0.597","39","1","31",,".261",".284",".303","-0.014","-0.009","87","11.5",33.1,"14",4.7,5.7,34.4,7.1,28,53.6,"299"
"Choi, Ji Man","596847","2022","31","356","419","83","50","22","0","11","123","58",29.4,13.8,".233",".388",".341","0.729","52","0","36",,".322",".352",".362","-0.003","-0.025","92.2","10.6",37.3,"28",11.9,8.1,47.5,7,32.3,41.7,"236"
"Bradley Jr., Jackie","598265","2022","32","344","370","70","42","23","1","4","77","24",20.8,6.5,".203",".311",".255","0.566","38","2","30",,".252",".262",".287","-0.020","-0.019","87.6","7.4",29.4,"13",4.8,7.4,37.2,8.7,29.4,49.7,"269"
"La Stella, Tommy","600303","2022","33","180","195","43","27","14","0","2","30","11",15.4,5.6,".239",".350",".282","0.632","14","0","17",,".277",".281",".274",".007",".021","87.9","14.6",37.3,"3",2,6.5,32,6.8,16.7,40.7,"153"
"Severino, Pedro","600474","2022","28","18","21","4","2","2","0","0","7","3",33.3,14.3,".222",".333",".333","0.666","1","0","0",,".303",".364",".245",".072",".135","86.7","16.3",36.4,"0",0,9.1,18.2,4.2,30.4,48.4,"11"
"Candelario, Jeimer","600869","2022","28","429","467","93","59","19","2","13","109","28",23.3,6,".217",".361",".272","0.633","50","0","49",,".277",".287",".305","-0.011","-0.018","87.2","13.5",37,"27",8.3,4,34.6,6.7,25.4,52.6,"324"
"Daza, Yonathan","602074","2022","28","372","408","112","87","21","2","2","58","26",14.2,6.4,".301",".384",".349","0.733","34","0","56",,".323",".351",".331",".019",".033","84.8","4.6",34.1,"6",1.9,2.5,25,7.4,18.7,50.5,"320"
"Urías, Ramón","602104","2022","28","403","445","100","66","17","1","16","98","30",22,6.7,".248",".414",".305","0.719","51","1","50",,".313",".324",".329","-0.002","-0.006","89.4","11",32.1,"30",9.6,5.4,46.5,7.3,27.4,49.8,"312"
"Ahmed, Nick","605113","2022","32","52","54","12","7","2","0","3","15","2",27.8,3.7,".231",".442",".259","0.701","7","0","7",,".302",".324",".268",".040",".150","86.9","4.4",32.4,"2",5.4,10.8,32.4,5.7,24.1,51.2,"37"
"Anderson, Brian","605119","2022","29","338","383","75","50","16","1","8","101","37",26.4,9.7,".222",".346",".311","0.657","28","1","43",,".293",".315",".326","-0.007","-0.033","88.7","7.7",31.1,"23",9.7,4.2,42,6.9,30.3,50.7,"238"
"Barnes, Austin","605131","2022","32","179","212","38","24","6","0","8","37","27",17.5,12.7,".212",".380",".324","0.704","26","2","31",,".315",".266",".265",".002",".051","87.4","13.6",31,"7",4.8,5.5,35.2,7.1,17.6,42.1,"145"
"Bell, Josh","605137","2022","29","552","647","147","98","29","3","17","102","81",15.8,12.5,".266",".422",".362","0.784","71","0","78",,".344",".322",".332","-0.007","-0.002","88.9","8.4",30.7,"33",7.2,3.7,40.8,6.4,21.7,45.3,"456"
"Betts, Mookie","605141","2022","29","572","639","154","76","40","3","35","104","55",16.3,8.6,".269",".533",".340","0.873","82","12","117",,".373",".326",".309",".015",".068","90.5","18.6",36.2,"46",9.7,8.7,44.9,7.4,16.5,44.2,"472"
"Caratini, Victor","605170","2022","28","272","314","54","33","12","0","9","67","31",21.3,9.9,".199",".342",".300","0.642","34","0","26",,".289",".262",".310","-0.034","-0.008","89.4","6.6",30,"13",6.3,5.3,43.5,7.7,20.9,42.3,"207"
"Davis, J.D.","605204","2022","29","318","365","79","50","16","1","12","122","39",33.4,10.7,".248",".418",".340","0.758","35","1","46",,".333",".399",".391",".006","-0.051","92.4","12.3",34.8,"32",16.2,5.6,56.1,7.7,37.4,51.3,"198"
"Garcia, Aramis","605244","2022","29","108","115","23","20","2","0","1","34","3",29.6,2.6,".213",".259",".248","0.507","4","0","6",,".228",".311",".309",".001","-0.055","87.5","19.6",35.5,"2",2.6,6.6,36.8,7.8,30.8,52.1,"76"
"Machín, Vimael","605353","2022","28","223","253","49","36","12","0","1","47","25",18.6,9.9,".220",".287",".300","0.587","13","1","26",,".268",".274",".306","-0.023","-0.056","89.3","10.2",36.3,"7",3.9,7.3,39.1,7.6,17.9,44.7,"179"
"Pérez, Michael","605421","2022","29","121","132","18","12","0","0","6","32","10",24.2,7.6,".149",".298",".214","0.512","14","1","10",,".228",".202",".279","-0.056","-0.061","88.8","18.3",35.6,"7",7.8,8.9,36.7,10.4,28.4,44.3,"90"
"Thomas, Dillon","605504","2022","29","11","14","1","1","0","0","0","6","2",42.9,14.3,".091",".091",".286","0.377","0","0","1",,".213",".200",".202","-0.001","-0.014","82.9","-5.7",0,"0",0,0,40,4.3,45,42.6,"5"
"Zimmer, Bradley","605548","2022","29","105","117","13","6","5","0","2","45","5",38.5,4.3,".124",".229",".207","0.436","5","3","18",,".203",".217",".241","-0.014","-0.039","87","10.5",21.3,"7",11.5,1.6,34.4,6.4,37.4,51.7,"61"
"Castro, Harold","605612","2022","28","420","443","114","84","21","2","7","79","17",17.8,3.8,".271",".381",".300","0.681","47","0","37",,".297",".332",".339","-0.004","-0.042","87","11.4",41.6,"21",6.1,7.8,33.3,7.5,19.8,53.7,"346"
"Quiroz, Esteban","606019","2022","30","40","47","11","11","0","0","0","9","4",19.1,8.5,".275",".275",".370","0.645","3","1","3",,".303",".355",".292",".049","-0.022","81.6","11.3",43.8,"1",3.1,3.1,28.1,3.8,22.5,43.2,"32"
