"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_total_stolen_base","r_run","r_stolen_base_pct","woba","bacon","xbacon","xbadiff","xslgdiff","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","hard_hit_percent","meatball_percent","whiff_percent","swing_percent","batted_ball"
"Bethancourt, Christian","542194","2023","31","315","332","71","44","16","0","11","91","13",27.4,3.9,".225",".381",".254","0.635","33","1","49",,".271",".313",".299",".010",".005","88.6","11.3",28.5,"18",7.9,4.4,40.8,6.5,36.6,59.6,"228"
"Pérez, Carlos","542208","2023","32","168","189","38","28","4","0","6","40","13",21.2,6.9,".226",".357",".293","0.650","20","0","17",,".285",".290",".334","-0.032","-0.033","89.2","16",33.3,"7",5.3,6.1,39.4,7.3,21.5,46.1,"132"
"Ozuna, Marcell","542303","2023","32","530","592","145","75","29","1","40","134","57",22.6,9.6,".274",".558",".346","0.904","100","0","84",,".381",".364",".379","-0.009","-0.023","91.8","15.6",34.9,"66",16.6,6.5,49,6.7,26.7,48.4,"398"
"Ortega, Rafael","542364","2023","32","114","136","25","21","3","0","1","33","20",24.3,14.7,".219",".272",".341","0.613","8","6","16",,".288",".309",".298",".008",".003","86.8","10.6",30.5,"0",0,3.7,26.8,6.7,22.3,43.1,"82"
"Aguilar, Jesús","542583","2023","33","104","115","23","16","2","0","5","31","8",27,7,".221",".385",".281","0.666","9","0","8",,".282",".311",".270",".033",".067","86.7","16.3",33.8,"5",6.8,5.4,29.7,6.3,23.9,46.7,"74"
"Berti, Jon","542932","2023","33","388","424","114","88","16","3","7","77","29",18.2,6.8,".294",".405",".344","0.749","33","16","53",,".325",".363",".349",".013","-0.006","85.4","2.4",29.7,"15",4.7,3.5,31.3,8.8,19.8,45.5,"316"
"Crawford, Brandon","543063","2023","36","283","320","55","36","11","1","7","81","28",25.3,8.8,".194",".314",".273","0.587","38","3","31",,".260",".267",".303","-0.025","-0.065","89.8","14",32.4,"21",10.1,4.3,43,7.1,29.6,52.2,"207"
"Cron, C.J.","543068","2023","33","258","278","64","40","12","0","12","65","17",23.4,6.1,".248",".434",".295","0.729","37","0","38",,".312",".328",".343","-0.009","-0.037","87.7","12.8",31.8,"27",13.8,6.7,40,6.6,28.3,47.6,"195"
"Gomes, Yan","543228","2023","35","382","419","102","70","20","2","10","81","21",19.3,5,".267",".408",".315","0.723","63","1","44",,".312",".331",".334",".005","-0.001","87.4","15.1",37,"24",7.8,4.5,36.4,6.3,24.2,52.5,"308"
"Grossman, Robbie","543257","2023","33","353","420","84","50","23","1","10","98","57",23.3,13.6,".238",".394",".340","0.734","49","1","56",,".323",".319",".304",".014",".044","88.2","20.2",32.3,"18",6.8,5.7,37.3,8.2,20.1,38.1,"263"
"Harrison, Josh","543281","2023","35","103","114","21","16","3","0","2","20","3",17.5,2.6,".204",".291",".263","0.554","10","0","8",,".248",".247",".288","-0.024","-0.032","86.6","10.7",30.6,"2",2.4,4.7,25.9,6.9,21.9,51.3,"85"
"Hicks, Aaron","543305","2023","33","269","312","68","50","9","1","8","69","42",22.1,13.5,".253",".383",".353","0.736","36","6","44",,".326",".338",".279",".046",".079","85.3","12.6",26.4,"8",4,3.5,29.4,6.8,25.6,40.3,"201"
"Higashioka, Kyle","543309","2023","33","242","260","57","34","13","0","10","74","14",28.5,5.4,".236",".413",".274","0.687","34","0","24",,".293",".333",".344","-0.006","-0.030","90.1","15.5",36.6,"19",11,7.6,48.3,8.2,28.6,49.5,"172"
"Hosmer, Eric","543333","2023","33","94","100","22","17","3","0","2","25","6",25,6,".234",".330",".280","0.610","14","0","7",,".269",".319",".276",".031",".022","85.1","3.4",23.2,"4",5.8,0,34.8,4.7,23.6,52.1,"69"
"McCann, James","543510","2023","33","207","226","46","26","14","0","6","57","9",25.2,4,".222",".377",".269","0.646","26","3","25",,".279",".303",".359","-0.040","-0.054","89.8","16.6",37.4,"11",7.1,9,43.9,7.4,31.4,54.2,"155"
"Miller, Brad","543543","2023","33","56","67","12","7","4","0","1","11","10",16.4,14.9,".214",".339",".328","0.667","6","0","8",,".300",".261",".278","-0.014","-0.024","87.5","7.7",26.1,"3",6.5,2.2,28.3,5.5,22.4,39.9,"46"
"Nola, Austin","543592","2023","33","130","154","19","15","3","0","1","31","18",20.1,11.7,".146",".192",".260","0.452","8","0","9",,".220",".192",".263","-0.054","-0.071","85.8","15",24.3,"1",1,1.9,25.2,7.3,15.3,39.3,"103"
"Rendon, Anthony","543685","2023","33","148","183","35","27","6","0","2","27","25",14.8,13.7,".236",".318",".361","0.679","22","2","23",,".312",".280",".321","-0.028","-0.073","90.1","16.2",34.4,"6",4.8,5.6,41.6,8,17.9,39.6,"125"
"Semien, Marcus","543760","2023","32","670","753","185","112","40","4","29","110","72",14.6,9.6,".276",".478",".348","0.826","100","14","122",,".354",".327",".312",".014",".051","88.4","19.1",37.5,"37",6.5,6.9,37,7.4,18,47.1,"565"
"Springer III, George","543807","2023","33","613","683","158","111","25","1","21","125","60",18.3,8.8,".258",".405",".327","0.732","72","20","87",,".320",".322",".333","-0.006","-0.017","88.3","12",32.2,"38",7.7,6.5,39.9,7.8,22.3,49.3,"491"
"Vázquez, Christian","543877","2023","32","327","355","73","54","13","0","6","82","25",23.1,7,".223",".318",".280","0.598","32","1","34",,".264",".297",".302","-0.003","-0.005","86.7","10",36,"8",3.2,7.7,32.8,7.5,26.2,48.7,"247"
"Wong, Kolten","543939","2023","32","224","250","41","31","6","0","4","53","18",21.2,7.2,".183",".263",".256","0.519","27","3","25",,".236",".236",".278","-0.030","-0.027","85.6","14",28.7,"3",1.7,4,27,8.5,21.4,47.9,"174"
"Vargas, Ildemaro","545121","2023","31","262","286","66","47","13","2","4","20","19",7,6.6,".252",".363",".304","0.667","31","1","32",,".292",".272",".287","-0.013","-0.005","87.1","4.1",26,"6",2.4,4.1,31.3,8.1,12.1,45.9,"246"
"Grichuk, Randal","545341","2023","31","434","471","116","67","31","2","16","96","29",20.4,6.2,".267",".459",".321","0.780","44","2","65",,".333",".341",".339",".004",".034","89.6","14",35,"24",7.1,8.8,45.3,7.7,26.7,50.1,"340"
"Marisnick, Jake","545350","2023","32","76","83","18","11","3","2","2","21","3",25.3,3.6,".237",".408",".280","0.688","10","2","10",,".294",".321",".307",".011",".040","88.5","21.9",31.6,"3",5.3,8.8,36.8,10,27.2,56.1,"57"
"Trout, Mike","545361","2023","31","308","362","81","48","14","1","18","104","45",28.7,12.4,".263",".490",".367","0.857","44","2","54",,".368",".393",".416","-0.012","-0.033","91.9","19.3",38.3,"33",16,5.8,51.9,6.7,29.3,44.4,"206"
"Harper, Bryce","547180","2023","30","457","546","134","83","29","1","21","119","80",21.8,14.7,".293",".499",".401","0.900","72","11","84",,".384",".392",".394",".003","-0.031","91.8","9.1",36.8,"52",15.2,6.7,46.8,6.2,33.2,51.4,"342"
"Pérez, Roberto","547379","2023","34","15","17","2","2","0","0","0","6","2",35.3,11.8,".133",".133",".235","0.368","1","0","0",,".186",".222",".365","-0.076","-0.151","90.1","2.2",22.2,"0",0,22.2,33.3,6.5,29.4,44.2,"9"
"Abreu, José","547989","2023","36","540","594","128","86","23","1","18","130","42",21.9,7.1,".237",".383",".296","0.679","90","0","62",,".295",".308",".328","-0.011","-0.026","89","10.8",32.5,"36",8.7,4.6,41.6,6.7,26.4,50.1,"416"
"Díaz, Elias","553869","2023","32","486","526","130","90","25","1","14","118","34",22.4,6.5,".267",".409",".316","0.725","72","1","48",,".314",".349",".323",".022",".033","88.1","12.7",31.2,"23",6.2,4.3,38.4,8.1,28.4,54.8,"372"
"Narváez, Omar","553882","2023","31","128","146","27","20","5","0","2","27","14",18.5,9.6,".211",".297",".283","0.580","7","0","12",,".259",".260",".314","-0.041","-0.089","86","21",44.8,"8",7.6,6.7,29.5,6.4,16.6,46,"105"
"Suárez, Eugenio","553993","2023","31","598","694","139","88","29","0","22","214","70",30.8,10.1,".232",".391",".323","0.714","96","2","68",,".313",".352",".343",".009","-0.028","90.3","18.9",37.7,"52",13.2,6.8,43,8.4,32.8,44.5,"395"
"Urshela, Gio","570482","2023","31","214","228","64","53","8","1","2","36","10",15.8,4.4,".299",".374",".329","0.703","24","3","22",,".307",".354",".314",".040",".013","87.5","8.6",34.8,"7",3.9,4.4,33.7,7,18.8,54.8,"181"
"Schoop, Jonathan","570731","2023","31","136","151","29","21","8","0","0","37","13",24.5,8.6,".213",".272",".278","0.550","7","0","15",,".249",".287",".312","-0.017","-0.056","89.4","11.2",32.7,"4",4,8.9,38.6,8.3,29.2,52.6,"101"
"Arenado, Nolan","571448","2023","32","560","612","149","95","26","2","26","101","41",16.5,6.7,".266",".459",".315","0.774","93","3","71",,".327",".319",".320",".000",".024","88.8","16.9",33,"34",7.3,6,38.1,7.4,20.2,48.5,"467"
"Barnhart, Tucker","571466","2023","32","109","123","22","18","3","0","1","42","12",34.1,9.8,".202",".257",".285","0.542","9","1","6",,".250",".324",".293",".025",".028","87","16.5",30.9,"1",1.5,1.5,23.5,8,24.9,47.1,"68"
"Farmer, Kyle","571657","2023","32","336","369","86","59","14","2","11","86","23",23.3,6.2,".256",".408",".317","0.725","46","2","49",,".316",".341",".336",".004",".003","86.4","13.2",36.1,"17",6.7,5.6,32.9,7.7,23.2,47.7,"252"
"Haniger, Mitch","571745","2023","32","211","229","44","24","13","1","6","65","15",28.4,6.6,".209",".365",".266","0.631","28","1","27",,".274",".299",".352","-0.036","-0.072","91","15.9",36.7,"16",10.9,7.5,46.9,8.1,27.8,45.8,"147"
"Hernández, Enrique","571771","2023","31","465","508","110","76","23","0","11","97","34",19.1,6.7,".237",".357",".289","0.646","61","4","57",,".282",".294",".281",".013",".020","87.8","17",31,"17",4.5,5.1,33.7,7.6,23.6,46.7,"374"
"Lamb, Jake","571875","2023","32","51","54","11","8","1","0","2","15","3",27.8,5.6,".216",".353",".259","0.612","5","0","7",,".267",".306",".320","-0.010","-0.009","89.1","12",36.1,"2",5.6,11.1,44.4,5.9,33.1,51.1,"36"
"Maile, Luke","571912","2023","32","179","199","42","26","10","0","6","49","14",24.6,7,".235",".391",".308","0.699","25","2","17",,".307",".323",".322",".001","-0.025","87.7","14.7",37.4,"14",10.7,6.1,33.6,9.4,25.7,44.6,"131"
"Muncy, Max","571970","2023","32","482","579","102","48","17","1","36","153","85",26.4,14.7,".212",".475",".333","0.808","105","1","95",,".344",".304",".339","-0.023","-0.029","91.2","21.7",33.7,"49",14.6,8.4,46.6,6.9,29.6,39.3,"335"
"Myers, Wil","571976","2023","32","127","141","24","18","3","0","3","48","12",34,8.5,".189",".283",".257","0.540","12","2","11",,".243",".300",".304",".000","-0.014","87.6","11",29.6,"5",6.2,2.5,29.6,8.9,36.8,43.3,"81"
"Owings, Chris","572008","2023","31","25","25","4","4","0","0","0","12","0",48,0,".160",".160",".160","0.320","0","0","0",,".141",".308",".260",".025","-0.001","88.9","20.1",15.4,"0",0,7.7,46.2,12.6,35.1,60,"13"
"Pollock, AJ","572041","2023","35","133","144","22","13","4","0","5","32","9",22.2,6.3,".165",".308",".215","0.523","15","0","15",,".227",".214",".265","-0.036","-0.051","89.4","13",24.3,"7",6.8,8.7,41.7,7.2,25.8,51.5,"103"
"Singleton, Jon","572138","2023","31","91","105","15","10","3","0","2","23","13",21.9,12.4,".165",".264",".267","0.531","12","0","11",,".244",".217",".285","-0.051","-0.099","88.9","17.5",27.5,"4",5.8,8.7,43.5,6.9,22.3,42.4,"69"
"Taylor, Michael A.","572191","2023","32","355","388","78","42","14","1","21","130","26",33.5,6.7,".220",".442",".278","0.720","51","13","48",,".308",".345",".350","-0.002",".009","88.1","13.4",30.6,"31",13.5,6.6,38,7.1,33.6,49,"229"
"Thompson, Trayce","572204","2023","32","153","179","25","17","2","0","6","77","24",43,13.4,".163",".294",".285","0.579","17","2","17",,".266",".329",".332","-0.002","-0.028","89.3","21.8",34.2,"9",11.8,7.9,46.1,8.9,43.3,39.9,"76"
"Voit III, Luke","572228","2023","32","68","74","15","12","3","0","0","27","4",36.5,5.4,".221",".265",".284","0.549","4","2","5",,".251",".366",".380","-0.008","-0.090","86.7","12.5",43.9,"3",7.3,2.4,36.6,8.8,40.7,49.3,"41"
"Walker, Christian","572233","2023","32","582","661","150","79","36","2","33","127","62",19.2,9.4,".258",".497",".333","0.830","103","11","86",,".351",".324",".318",".007",".037","88","15.8",32.6,"53",11.4,6,40.4,7.7,26.4,48.6,"463"
"Zunino, Mike","572287","2023","32","124","140","22","12","7","0","3","61","15",43.6,10.7,".177",".306",".271","0.577","11","0","11",,".261",".349",".310",".020",".037","85.9","15.1",28.6,"5",7.9,12.7,34.9,7.8,42.8,46.7,"63"
"Carpenter, Matt","572761","2023","37","188","237","33","16","12","0","5","67","41",28.3,17.3,".176",".319",".322","0.641","31","1","18",,".293",".262",".273",".003","-0.015","87","24.4",35.7,"14",11.1,4.8,31,7.7,28.3,40.4,"126"
"Dickerson, Corey","572816","2023","34","144","152","36","26","7","1","2","28","7",18.4,4.6,".250",".354",".283","0.637","17","0","12",,".277",".308",".316","-0.006","-0.018","88.1","9.4",32.5,"4",3.4,2.6,27.4,6,22.4,60.4,"117"
"Ruf, Darin","573131","2023","36","49","57","11","8","3","0","0","16","8",28.1,14,".224",".286",".333","0.619","3","0","3",,".287",".333",".383","-0.034","-0.162","94","7.5",39.4,"4",12.1,6.1,51.5,7.6,26.6,35.6,"33"
"Yastrzemski, Mike","573262","2023","32","330","381","77","38","23","1","15","99","45",26,11.8,".233",".445",".330","0.775","43","2","54",,".333",".332",".331",".001",".026","90","19.6",35,"23",9.8,11.5,44,7.2,23.6,41.2,"234"
"Contreras, Willson","575929","2023","31","428","495","113","66","27","0","20","111","51",22.4,10.3,".264",".467",".358","0.825","67","6","55",,".358",".354",".374","-0.015","-0.023","91.3","10.1",34.1,"39",12.2,5.9,46.9,6.8,29,48.5,"320"
"Querecuto, Juniel","578570","2023","30","20","21","2","1","1","0","0","6","1",28.6,4.8,".100",".150",".143","0.293","0","0","2",,".134",".143",".281","-0.097","-0.108","83.8","13.1",42.9,"1",7.1,0,14.3,8.9,32.4,46.8,"14"
"Bryant, Kris","592178","2023","31","300","335","70","50","10","0","10","68","29",20.3,8.7,".233",".367",".313","0.680","31","0","36",,".302",".302",".317","-0.012","-0.046","85.7","14.4",34.1,"14",6,7.3,31.5,7,25,45.9,"232"
"Canha, Mark","592192","2023","34","435","507","114","77","25","1","11","79","49",15.6,9.7,".262",".400",".355","0.755","62","11","51",,".333",".315",".301",".014",".019","87.9","13.1",30.9,"17",4.7,6.6,36.7,7.7,18.3,41.6,"362"
"Casali, Curt","592200","2023","34","80","96","14","12","2","0","0","23","11",24,11.5,".175",".200",".290","0.490","6","0","8",,".239",".246",".291","-0.032","-0.087","85.1","21",30,"1",1.7,6.7,26.7,7.8,24.7,45.8,"60"
"Castellanos, Nick","592206","2023","31","626","671","170","102","37","2","29","185","36",27.6,5.4,".272",".476",".311","0.787","106","11","79",,".335",".380",".364",".014",".033","88.9","14.4",36.5,"46",10.3,7.4,43.2,6.2,35.4,56.2,"447"
"Drury, Brandon","592273","2023","30","485","523","127","68","30","3","26","136","25",26,4.8,".262",".497",".306","0.803","83","0","61",,".339",".359",".349",".010",".057","89.9","11.8",35,"39",11,7.6,46.3,7.1,30.2,51.6,"354"
"Gamel, Ben","592325","2023","31","15","15","3","2","1","0","0","2","0",13.3,0,".200",".267",".200","0.467","2","0","2",,".201",".231",".237","-0.005","-0.122","92.7","5.5",30.8,"1",7.7,7.7,46.2,18.4,18.5,55.1,"13"
"Judge, Aaron","592450","2023","31","367","458","98","45","16","0","37","130","88",28.4,19.2,".267",".613",".406","1.019","75","3","79",,".420",".408",".444","-0.022","-0.099","97.6","20.4",37.1,"66",27.5,10.4,64.2,8,36.6,41.3,"240"
"Machado, Manny","592518","2023","30","543","601","140","89","21","0","30","109","50",18.1,8.3,".258",".462",".319","0.781","91","3","75",,".334",".318",".320",".000",".001","91","15",30.2,"46",10.5,7.7,45.9,6.7,23.9,49.3,"440"
"Pederson, Joc","592626","2023","31","358","425","84","52","14","3","15","89","57",20.9,13.4,".235",".416",".348","0.764","51","0","59",,".331",".309",".350","-0.029","-0.065","92.1","15.2",33.5,"33",12.1,8.5,52.2,6.2,24.6,45.2,"272"
"Ramos, Henry","592656","2023","31","74","86","18","14","3","1","0","21","11",24.4,12.8,".243",".311",".349","0.660","5","2","9",,".303",".340",".319",".015",".003","82.4","13.8",32.1,"2",3.8,3.8,20.8,6.1,29.1,47.6,"53"
"Realmuto, J.T.","592663","2023","32","489","540","123","70","28","5","20","138","35",25.6,6.5,".252",".452",".310","0.762","63","16","70",,".324",".346",".352","-0.002","-0.010","89.8","16.7",36.2,"40",11.2,7,43.3,7.6,26.2,50.5,"356"
"Renfroe, Hunter","592669","2023","31","498","548","116","65","31","0","20","125","44",22.8,8,".233",".416",".297","0.713","60","0","60",,".308",".309",".299",".008",".050","88.3","15",29.5,"23",6.1,6.9,39.1,6.4,26.4,50.8,"376"
"Rosario, Eddie","592696","2023","31","478","516","122","74","24","3","21","122","34",23.6,6.6,".255",".450",".305","0.755","74","3","64",,".322",".341",".340",".001",".014","88.6","14.5",35.9,"34",9.5,5.6,35.4,6.2,29.7,57.4,"359"
"Yelich, Christian","592885","2023","31","550","632","153","99","34","1","19","140","78",22.2,12.3,".278",".447",".370","0.817","76","28","106",,".353",".372",".381","-0.006","-0.013","91.7","3.5",30.4,"38",9.2,6.1,50.1,6.5,26.8,45,"411"
"Merrifield, Whit","593160","2023","34","547","592","149","111","27","0","11","101","36",17.1,6.1,".272",".382",".318","0.700","67","26","66",,".304",".330",".295",".030",".047","85.1","14.4",37.2,"11",2.4,5.3,24.3,8.8,19.5,51.1,"452"
"Bogaerts, Xander","593428","2023","30","596","665","170","118","31","2","19","110","56",16.5,8.4,".285",".440",".350","0.790","58","19","83",,".343",".346",".311",".030",".039","87.6","7.9",28.3,"30",6.1,4.5,34.6,8.1,20.4,42.6,"492"
"Alberto, Hanser","593643","2023","30","82","90","18","10","5","0","3","13","4",14.4,4.4,".220",".390",".261","0.651","16","0","11",,".279",".257",".283","-0.021",".045","84.3","15.5",33.3,"3",4.2,4.2,22.2,9.5,19.8,66.7,"72"
"Polanco, Jorge","593871","2023","29","302","343","77","45","18","0","14","88","36",25.7,10.5,".255",".454",".335","0.789","48","4","38",,".340",".355",".349",".004","-0.028","88.4","21.6",39.6,"30",13.8,5.5,40.6,6.9,24.9,46.4,"217"
"Calhoun, Kole","594777","2023","35","157","174","34","21","7","0","6","37","13",21.3,7.5,".217",".376",".282","0.658","25","0","18",,".286",".279",".303","-0.018","-0.021","86.6","19.9",33.6,"8",6.6,5.7,35.2,6.9,22.9,48.2,"122"
"Duvall, Adam","594807","2023","34","320","353","79","32","24","2","21","110","22",31.2,6.2,".247",".531",".303","0.834","58","4","45",,".347",".367",".318",".037",".095","88.8","28.9",33,"28",13,5.6,39.1,7.5,31,48.3,"215"
"Kiermaier, Kevin","595281","2023","33","370","408","98","63","21","6","8","86","29",21.1,7.1,".265",".419",".322","0.741","36","14","58",,".320",".340",".338",".006",".065","86.7","5.6",29.4,"10",3.5,2.8,33.2,7.8,30.2,49.6,"289"
"Wallach, Chad","595453","2023","31","157","172","31","18","5","1","7","57","13",33.1,7.6,".197",".376",".259","0.635","15","0","18",,".275",".310",".335","-0.015","-0.029","87.7","16.7",35.3,"11",10.8,4.9,33,9.2,34.8,50,"102"
"Alfaro, Jorge","595751","2023","30","48","52","7","2","4","0","1","15","2",28.8,3.8,".146",".292",".212","0.504","4","0","2",,".223",".212",".304","-0.063","-0.047","88.9","-6.1",18.2,"2",6.1,6.1,36.4,5.1,31.5,61.7,"33"
"Profar, Jurickson","595777","2023","30","459","521","111","73","27","2","9","90","50",17.3,9.6,".242",".368",".321","0.689","46","1","55",,".304",".297",".308","-0.005",".019","86.5","14.8",37.7,"15",4,5.1,31.8,7.1,20,47.2,"374"
"Báez, Javier","595879","2023","30","510","547","113","82","18","4","9","125","24",22.9,4.4,".222",".325",".267","0.592","59","12","58",,".261",".291",".310","-0.012","-0.030","88","9.4",28.9,"20",5.2,7,39.7,6.3,32.6,54.8,"388"
"Cave, Jake","595909","2023","30","184","203","39","25","8","1","5","55","15",27.1,7.4,".212",".348",".272","0.620","21","3","18",,".271",".298",".293",".009","-0.010","89.3","15.3",29.5,"10",7.6,5.3,34.8,8,26.7,48.8,"132"
"Gallagher, Cam","595956","2023","30","143","149","18","12","6","0","0","46","4",30.9,2.7,".126",".168",".154","0.322","7","0","6",,".145",".184",".225","-0.028","-0.039","82.5","17.3",24.5,"2",2,3.1,20.4,8.7,22.3,51.5,"98"
"Hedges, Austin","595978","2023","30","185","212","34","28","5","0","1","47","11",22.2,5.2,".184",".227",".234","0.461","16","1","14",,".209",".241",".294","-0.031","-0.062","87.2","15.4",29.1,"1",0.7,4,31.1,7.6,28,52.1,"151"
"Lindor, Francisco","596019","2023","29","602","687","153","87","33","2","31","137","66",19.9,9.6,".254",".470",".336","0.806","98","31","108",,".346",".324",".329","-0.001",".013","91.2","19.2",35.8,"49",10.4,7.2,43.9,7.4,22.8,48,"472"
"Odor, Rougned","596059","2023","29","138","157","28","15","9","0","4","37","17",23.6,10.8,".203",".355",".299","0.654","18","2","21",,".291",".277",".329","-0.038","-0.036","90.1","19.9",38.6,"7",6.9,5,37.6,7,27.1,48.5,"101"
"Slater, Austin","596103","2023","30","185","207","50","36","9","0","5","58","20",28,9.7,".270",".400",".348","0.748","20","2","24",,".330",".394",".371",".015","-0.043","91.1","7.5",34.6,"15",11.8,4.7,46.5,7.7,29.5,42.3,"127"
"Story, Trevor","596115","2023","30","158","168","32","20","9","0","3","55","9",32.7,5.4,".203",".316",".250","0.566","14","10","12",,".249",".311",".322","-0.007","-0.038","88.5","15.5",42.7,"10",9.7,6.8,39.8,7.3,31.7,50.8,"103"
"Stubbs, Garrett","596117","2023","30","113","125","23","17","4","1","1","29","9",23.2,7.2,".204",".283",".274","0.557","12","2","15",,".252",".274",".217",".043",".080","83.4","22.4",18.8,"0",0,2.4,17.6,8.1,22.4,46.8,"85"
"Vogelbach, Daniel","596129","2023","30","275","319","64","43","8","0","13","81","42",25.4,13.2,".233",".404",".339","0.743","48","0","33",,".327",".330",".324",".004",".003","91.7","14.5",31.4,"18",9.3,8.2,50,6.5,21.6,36,"194"
"Sánchez, Gary","596142","2023","30","240","267","52","24","9","0","19","67","21",25.1,7.9,".217",".492",".288","0.780","47","0","33",,".329",".297",".322","-0.016","-0.010","90.1","16.5",27.4,"27",15.4,5.1,44.6,8.5,27.6,41.8,"175"
"Kepler, Max","596146","2023","30","438","491","114","66","22","2","24","106","45",21.6,9.2,".260",".484",".332","0.816","66","1","72",,".348",".339",".356","-0.011","-0.019","91.9","14.7",35.7,"41",12.2,8.6,47.9,6.9,19.8,47.5,"336"
"Choi, Ji Man","596847","2023","32","104","117","17","6","5","0","6","35","10",29.9,8.5,".163",".385",".239","0.624","13","0","12",,".267",".239",".360","-0.074","-0.108","93.4","11.9",33.8,"14",19.7,8.5,59.2,6.6,30.8,46.4,"71"
"Bradley Jr., Jackie","598265","2023","33","105","113","14","8","5","0","1","29","5",25.7,4.4,".133",".210",".188","0.398","6","0","10",,".180",".184",".259","-0.054","-0.114","88.1","5.3",23.4,"6",7.8,6.5,35.1,7.1,32.6,53.4,"77"
"Motter, Taylor","600301","2023","33","76","82","13","10","3","0","0","31","5",37.8,6.1,".171",".211",".232","0.443","2","0","3",,".204",".289",".315","-0.015","-0.058","87","19.2",37.8,"4",8.9,11.1,46.7,6.8,29,50,"45"
"La Stella, Tommy","600303","2023","34","21","24","4","3","1","0","0","5","3",20.8,12.5,".190",".238",".292","0.530","2","0","2",,".249",".250",".241",".006",".006","86.6","19.2",25,"0",0,0,12.5,7.7,25,38.5,"16"
"Candelario, Jeimer","600869","2023","29","505","576","127","63","39","3","22","127","53",22,9.2,".251",".471",".336","0.807","70","8","77",,".346",".332",".313",".015",".064","88.3","14.1",36.9,"30",7.9,7.3,36.4,5.9,24.2,47.4,"382"
"Daza, Yonathan","602074","2023","29","74","80","20","14","6","0","0","13","3",16.3,3.8,".270",".351",".304","0.655","7","1","8",,".286",".323",".276",".040",".040","85","13.6",30.2,"1",1.6,4.8,19,9.1,19.7,57.1,"63"
"Urías, Ramón","602104","2023","29","360","396","95","66","22","3","4","101","27",25.5,6.8,".264",".375",".328","0.703","42","3","45",,".310",".365",".313",".038",".039","89.2","7.9",30.4,"18",6.9,3.1,38.1,7.9,28.7,49.1,"260"
"Ahmed, Nick","605113","2023","33","198","210","42","29","10","1","2","52","12",24.8,5.7,".212",".303",".257","0.560","17","5","14",,".247",".288",".308","-0.014","-0.022","85.2","12.8",32.9,"4",2.7,6.8,31.5,7.2,26.9,50.4,"146"
"Anderson, Brian","605119","2023","30","318","361","72","48","12","3","9","108","36",29.9,10,".226",".368",".310","0.678","40","1","38",,".299",".338",".352","-0.005","-0.023","87.6","9.9",34.3,"22",10.3,6.1,37.1,8.7,33.3,48.9,"213"
"Barnes, Austin","605131","2023","33","178","200","32","25","5","0","2","43","17",21.5,8.5,".180",".242",".256","0.498","11","2","15",,".229",".234",".284","-0.034","-0.067","84.8","6.1",28.3,"4",2.9,5.1,25.4,8.4,22.2,44,"138"
"Bell, Josh","605137","2023","30","547","617","135","85","28","0","22","134","63",21.7,10.2,".247",".419",".325","0.744","74","0","52",,".323",".325",".348","-0.016","-0.038","90.1","9.3",31.3,"42",10.1,5.3,43,6.2,25.8,47.7,"416"
"Betts, Mookie","605141","2023","30","584","693","179","99","40","1","39","107","96",15.4,13.9,".307",".579",".408","0.987","107","14","126",,".416",".371",".358",".013",".016","92.4","20.6",42.5,"60",12.4,11.2,48.5,7.2,16.7,38.1,"482"
"Caratini, Victor","605170","2023","29","201","226","52","41","4","0","7","45","19",19.9,8.4,".259",".383",".327","0.710","25","1","23",,".312",".327",".327",".001",".006","91.3","10.8",23.3,"8",5,3.8,44.7,7.7,21.1,45.3,"159"
"Davis, J.D.","605204","2023","30","480","546","119","77","23","1","18","152","52",27.8,9.5,".248",".412",".325","0.737","69","1","61",,".321",".356",".355",".004",".001","91.1","7.8",33.5,"32",9.6,6.3,45.2,8.2,34,53.1,"334"
"Martini, Nick","605361","2023","33","72","79","19","9","3","1","6","15","5",19,6.3,".264",".583",".329","0.912","16","0","10",,".382",".333",".325",".007",".080","91","23.6",45.6,"6",10.5,15.8,45.6,8.9,18.1,47.5,"57"
"Castro, Harold","605612","2023","29","258","270","65","51","13","0","1","66","9",24.4,3.3,".252",".314",".275","0.589","31","1","24",,".258",".335",".323",".010","-0.025","86.2","10",38.5,"6",3.1,3.6,28.7,6.9,28.6,56.3,"195"
"Arcia, Orlando","606115","2023","28","488","533","129","87","25","0","17","102","39",19.1,7.3,".264",".420",".321","0.741","65","1","66",,".321",".332",".311",".017",".022","88.2","5.4",30.6,"27",6.9,4.6,41.1,8.1,24.3,46.2,"389"
"Tapia, Raimel","606132","2023","29","148","169","35","27","4","1","3","40","17",23.7,10.1,".236",".338",".317","0.655","13","10","28",,".293",".321",".311",".012",".000","85.4","1.6",31.8,"7",6.4,4.5,34.5,8.2,28.7,49.5,"110"
"Hernández, Teoscar","606192","2023","30","625","678","161","104","29","2","26","211","38",31.1,5.6,".258",".435",".305","0.740","93","7","70",,".317",".382",".388",".000","-0.041","91.3","12.3",35.2,"58",13.8,6.4,49.4,6.7,35.8,53.6,"421"
