"last_name, first_name","player_id","year","pa","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","r_total_stolen_base","b_swinging_strike","r_run","r_stolen_base_pct","xba","xslg","woba","xwoba","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","batted_ball"
"Cabrera, Oswaldo","665828","2022","171","38","23","8","1","6",25.7,8.8,".247",".429",".312","0.741","3","89","21",,".220",".361",".322",".287",".288","86.8","21.5",41.1,"7",6.3,34.8,"97.586874909","92.793437455",26.9,52.4,"112"
"Springer III, George","543807","2022","583","137","86","22","4","25",17.2,9.3,".267",".472",".342","0.814","14","282","89",,".265",".437",".352",".342",".342","88.7","13.9",31.8,"35",8.4,42.3,"101.320507081","94.768491799",28.2,50.9,"418"
"Jiménez, Eloy","650391","2022","327","86","58","12","0","16",22,8.6,".295",".500",".358","0.858","0","164","40",,".266",".512",".370",".365",".335","92.8","7.4",31.7,"33",14.7,54.9,"103.54562625","96.686543438",30.3,49.8,"224"
"Tellez, Rowdy","642133","2022","599","116","58","23","0","35",20.2,10.4,".219",".461",".306","0.767","2","206","67",,".252",".479",".327",".349",".337","91.1","15.3",31.4,"53",12.9,46,"102.553838927","95.690567213",23.8,43.5,"411"
"Kemp, Tony","643393","2022","558","117","84","24","2","7",12.4,8.1,".235",".334",".307","0.641","11","110","61",,".219",".291",".287",".267",".294","84.4","15",33.9,"7",1.6,14.9,"93.050155144","90.545713639",13.1,48.9,"436"
"Torrens, Luis","620443","2022","166","34","29","2","0","3",30.1,7.2,".225",".298",".283","0.581","0","75","13",,".236",".333",".261",".284",".299","90.3","8.9",34,"5",4.9,46.6,"99.276666863","94.392982059",26.7,47,"103"
"Benintendi, Andrew","643217","2022","521","140","109","23","3","5",14.8,10,".304",".399",".373","0.772","8","165","54",,".273",".407",".342",".334",".347","89.2","12.6",39.2,"20",5.1,38.7,"98.21078057","93.391636347",20.7,48.2,"390"
"Muncy, Max","571970","2022","565","91","47","22","1","21",25,15.9,".196",".384",".329","0.713","2","227","69",,".208",".417",".318",".339",".342","90.3","20.9",34.3,"44",13.4,45.6,"100.488456196","94.680756043",26.1,38.6,"329"
"Kiner-Falefa, Isiah","643396","2022","531","126","102","20","0","4",13.6,6.6,".261",".327",".314","0.641","22","82","66",,".262",".333",".285",".290",".317","86.2","4.3",29.6,"5",1.2,30.1,"96.614692718","92.355143236",11.2,44.7,"419"
"Brantley Jr., Michael","488726","2022","277","70","50","14","1","5",10.8,11.2,".288",".416",".370","0.786","1","44","28",,".310",".467",".345",".374",".390","89.8","10.7",39.5,"13",6,45.1,"99.739801321","94.323002844",12.7,41.5,"215"
"Rengifo, Luis","650859","2022","511","129","86","22","4","17",15.5,3.3,".264",".429",".294","0.723","6","194","45",,".254",".392",".314",".296",".285","86.9","9.9",31.1,"22",5.4,33.6,"98.09743639","93.096324743",21.5,55.7,"411"
"Smith, Josh","669701","2022","253","42","35","5","0","2",19.8,11.1,".197",".249",".307","0.556","4","84","23",,".224",".313",".262",".296",".330","87","19.2",34.5,"4",2.4,28.6,"96.124871098","92.093542209",23.4,41.1,"168"
"Pollock, AJ","572041","2022","527","120","79","26","1","14",18.6,6.1,".245",".389",".292","0.681","3","201","61",,".258",".419",".297",".317",".305","88.8","11.6",32.9,"37",9.4,42,"100.414319188","94.34853632",24.7,53.6,"395"
"Profar, Jurickson","595777","2022","658","140","87","36","2","15",15.7,11.1,".243",".391",".331","0.722","5","195","82",,".251",".359",".320",".315",".340","87.5","12.9",34.7,"19",4,34.3,"97.859468559","92.98708518",18.7,43.6,"478"
"Piscotty, Stephen","572039","2022","139","24","15","4","0","5",34.5,6.5,".190",".341",".252","0.593","2","113","12",,".216",".352",".258",".275",".278","90.4","10.4",42.5,"5",6.3,46.3,"99.744957","94.282117",41.6,55.1,"80"
"Martinez, J.D.","502110","2022","596","146","86","43","1","16",24.3,8.7,".274",".448",".341","0.789","0","330","76",,".260",".471",".343",".349",".330","89.1","14.1",42,"49",12.5,41.7,"100.92394699","94.707836352",30.1,51.9,"393"
"Frazier, Adam","624428","2022","602","129","100","22","4","3",12.1,7.6,".238",".311",".301","0.612","11","132","61",,".262",".339",".274",".297",".324","85.1","13.6",37.7,"7",1.5,24.5,"95.048135872","91.524067936",14.4,48.7,"478"
"Urías, Ramón","602104","2022","445","100","66","17","1","16",22,6.7,".248",".414",".305","0.719","1","198","50",,".250",".420",".313",".320",".309","89.4","11",32.1,"30",9.6,46.5,"100.690244675","94.67897342",27.4,49.8,"312"
"Santana, Carlos","467793","2022","506","87","50","18","0","19",17.4,14,".202",".376",".316","0.692","0","168","52",,".253",".438",".308",".352",".361","90.7","15.4",31.6,"32",9.3,44.9,"100.993708488","94.851060233",21.3,42.6,"345"
"Ramírez, Harold","623912","2022","435","121","91","24","0","6",16.6,4.4,".300",".404",".343","0.747","3","202","46",,".275",".382",".327",".310",".320","88.5","4.8",32.2,"16",4.8,41.2,"101.050881737","94.664812126",25.5,56.4,"335"
"Culberson, Charlie","518586","2022","124","29","21","6","0","2",25,4,".252",".357",".283","0.640","2","72","19",,".226",".303",".281",".251",".258","85.3","5.9",28.4,"1",1.1,27.3,"95.647602143","91.889355952",30.5,59,"88"
"Díaz, Lewin","650331","2022","174","27","18","4","0","5",31,6.3,".169",".287",".224","0.511","1","75","12",,".167",".262",".228",".219",".223","88.3","15.6",29.6,"6",5.6,28.7,"97.258491481","92.70251037",27.2,46.2,"108"
"Pham, Tommy","502054","2022","622","131","90","23","1","17",26.8,9,".236",".374",".312","0.686","8","234","89",,".238",".383",".304",".311",".315","92.2","7.7",33.2,"31",7.9,48.5,"102.514437436","95.778101436",26,42,"392"
"Calhoun, Kole","594777","2022","424","76","49","14","1","12",32.1,6.4,".196",".330",".257","0.587","3","298","36",,".223",".382",".260",".294",".284","90.8","15.4",40.4,"25",9.8,48.2,"100.862031797","94.921499922",36.3,53.1,"255"
"Winker, Jesse","608385","2022","547","100","71","15","0","14",18.8,15.4,".219",".344",".344","0.688","0","174","51",,".249",".403",".313",".345",".369","87.7","16.8",32,"27",7.6,34.3,"98.674499266","93.339254492",19.9,43.3,"356"
"Bichette, Bo","666182","2022","697","189","121","43","1","24",22.2,5.9,".290",".469",".333","0.802","13","260","91",,".278",".444",".347",".334",".322","91.9","8.5",33.3,"48",9.6,50.3,"102.743171296","96.003278846",23,55.9,"499"
"Aquino, Aristides","606157","2022","276","51","28","13","0","10",36.6,6.2,".197",".363",".246","0.609","2","204","24",,".180",".317",".267",".243",".231","85.6","17.4",27.2,"13",8.2,34.6,"99.168037143","93.584018571",37.9,56.6,"158"
"Friedl Jr., TJ","670770","2022","258","54","31","10","5","8",15.5,7.8,".240",".436",".314","0.750","7","74","33",,".215",".335",".323",".283",".295","87.2","19.8",30.9,"9",4.7,29.8,"97.321634111","92.6816085",19.9,43.5,"191"
"Schwindel, Frank","643524","2022","292","62","43","11","0","8",19.9,6.5,".229",".358",".277","0.635","0","134","23",,".230",".351",".278",".278",".281","88.1","10.2",31.6,"10",4.7,35.5,"98.512789626","93.354396573",26.5,54.7,"215"
"Bradley Jr., Jackie","598265","2022","370","70","42","23","1","4",20.8,6.5,".203",".311",".255","0.566","2","180","30",,".223",".330",".252",".268",".273","87.6","7.4",29.4,"13",4.8,37.2,"98.071881353","93.116593208",29.4,49.7,"269"
"Cave, Jake","595909","2022","177","35","20","7","3","5",27.7,6.2,".213",".384",".260","0.644","2","114","17",,".213",".395",".278",".285",".261","90.7","14.4",38.5,"12",10.3,42.7,"99.526718814","94.448232906",35,50.7,"117"
"McCutchen, Andrew","457705","2022","580","122","80","25","0","17",21.4,9.8,".237",".384",".316","0.700","8","235","66",,".252",".406",".309",".325",".329","89.1","13.2",36.2,"34",8.6,40,"99.92693269","94.143160838",24.2,44.9,"395"
"Villar, David","681584","2022","181","36","20","6","1","9",32,9.9,".231",".455",".331","0.786","0","112","21",,".187",".325",".344",".283",".294","86.8","17.8",33.3,"9",9.1,36.4,"97.5144976","92.850052323",37.2,44.2,"99"
"Rivera, Emmanuel","656896","2022","359","77","46","16","3","12",23.1,6.4,".233",".409",".292","0.701","1","145","46",,".238",".410",".306",".310",".296","90.4","9.8",32.3,"23",9.3,38.3,"99.960196371","94.242469274",25.8,50.1,"248"
"Meadows, Austin","640457","2022","147","32","24","6","2","0",11.6,10.9,".250",".328",".347","0.675","0","23","9",,".308",".460",".307",".380",".398","87.8","17.2",34.2,"7",6.3,39.6,"99.928750727","94.100384273",13.2,41,"111"
"Dalbec, Bobby","666915","2022","353","68","45","9","2","12",33.4,8.2,".215",".369",".283","0.652","3","219","40",,".216",".379",".287",".296",".287","90.3","15.2",32,"24",11.8,45.8,"101.246531881","94.95935203",35,46.5,"203"
"Turner, Trea","607208","2022","708","194","130","39","4","21",18.5,6.4,".298",".466",".343","0.809","27","330","101",,".276",".432",".350",".335",".327","88.9","10.2",35.3,"40",7.6,41.6,"100.188198893","94.238854962",26.3,51.2,"527"
"Langeliers, Shea","669127","2022","153","31","14","10","1","6",34.6,5.9,".218",".430",".261","0.691","0","121","14",,".200",".345",".296",".261",".247","87.3","16.9",42.9,"9",9.9,38.5,"99.086486739","93.605224725",42.7,54.2,"91"
"Neuse, Sheldon","641914","2022","293","58","48","4","2","4",27.3,6.8,".214",".288",".273","0.561","6","144","25",,".212",".291",".253",".254",".272","89.1","1.5",23,"6",3.1,38.2,"98.983222447","93.674738289",27.2,50.7,"191"
"Ohtani, Shohei","660271","2022","666","160","90","30","6","34",24.2,10.8,".273",".519",".356","0.875","11","303","90",,".275",".549",".370",".383",".358","92.9","12.1",35,"72",16.8,49.8,"103.823624272","96.520363788",28.1,49.3,"428"
"Peralta, David","444482","2022","490","110","65","30","3","12",23.3,8.4,".251",".415",".316","0.731","1","213","39",,".249",".399",".315",".313",".318","90.3","15.1",35,"28",8.5,44.4,"101.233296566","94.9223429",26.2,50.4,"331"
"Lux, Gavin","666158","2022","471","116","83","20","7","6",20.2,10,".276",".399",".346","0.745","7","162","66",,".247",".372",".328",".314",".325","88","6.8",34,"20",6.1,39.8,"98.887037439","93.675126098",23.3,42.6,"329"
"Walton, Donovan","622268","2022","78","12","3","8","0","1",20.5,1.3,".158",".303",".179","0.482","0","20","9",,".191",".310",".208",".228",".212","86.1","7.7",33.3,"3",5,31.7,"96.609348667","92.307646667",17.2,52.7,"60"
"Burger, Jake","669394","2022","183","42","24","9","1","8",30.6,5.5,".250",".458",".302","0.760","0","116","20",,".225",".460",".327",".318",".281","90.7","12.3",33.3,"17",14.9,43,"102.65301125","95.597171532",35.4,53.8,"114"
"Swanson, Dansby","621020","2022","696","177","119","32","1","25",26.1,7,".277",".447",".329","0.776","18","376","99",,".257",".461",".337",".337",".314","90.2","15.7",37,"50",10.8,46.3,"100.839209567","94.810341952",30.7,49.4,"462"
"Hoskins, Rhys","656555","2022","672","145","80","33","2","30",25.1,10.7,".246",".462",".332","0.794","2","278","81",,".239",".445",".345",".338",".327","90.1","18.1",37.3,"47",11.1,44.3,"100.842284953","94.804616643",25.7,41.9,"424"
"Allen, Nick","669397","2022","326","62","45","13","0","4",19.6,5.8,".207",".291",".256","0.547","3","129","31",,".210",".266",".245",".238",".259","83.9","7.6",26,"3",1.2,22.3,"94.329041897","91.214480087",22.7,53,"242"
"Isbel, Kyle","664728","2022","278","54","35","10","4","5",27,5.8,".211",".340",".264","0.604","9","93","32",,".220",".323",".265",".266",".273","89.7","10.6",30.4,"9",4.9,44.6,"100.466422667","94.564799889",21.9,46.3,"184"
"Larnach, Trevor","663616","2022","180","37","19","13","0","5",31.7,10,".231",".406",".306","0.712","0","108","22",,".227",".442",".309",".322",".303","90.1","13.1",36.2,"12",11.4,43.8,"101.431611321","95.113861143",40.2,41.6,"105"
"Stassi, Max","545358","2022","375","60","38","12","1","9",29.9,10.1,".180",".303",".267","0.570","0","189","32",,".180",".325",".258",".266",".268","88.6","9.5",26,"21",9.4,39.5,"98.972653514","93.67534181",34,44.1,"223"
"Laureano, Ramón","657656","2022","383","73","42","18","0","13",27.2,6.5,".211",".376",".287","0.663","11","186","49",,".219",".402",".294",".307",".294","88.7","14.9",28.9,"28",11.6,38.4,"100.041538347","94.16358876",30.3,46.4,"242"
"Cordero, Franchy","614173","2022","275","53","27","17","1","8",33.5,10.2,".219",".397",".300","0.697","4","177","36",,".228",".402",".304",".313",".310","89.7","12.7",39,"19",12.3,45.5,"103.480728533","95.902442667",37.1,48.9,"154"
"Adams, Riley","656180","2022","155","25","16","4","0","5",29.7,7.7,".176",".310",".245","0.555","0","75","14",,".197",".350",".249",".274",".265","90.2","13.5",25,"9",9.4,45.8,"101.327463958","94.837029368",30.1,45.6,"96"
"Moustakas, Mike","519058","2022","285","54","35","12","0","7",26.3,8.4,".214",".345",".295","0.640","2","159","30",,".195",".307",".286",".270",".281","87.6","19.4",36.1,"11",6.1,33.9,"98.852222556","93.461727111",29.2,54.3,"180"
"Burdick, Peyton","680814","2022","102","19","11","4","0","4",34.3,7.8,".207",".380",".284","0.664","1","67","8",,".205",".387",".294",".296",".283","90","18",35.1,"6",10.5,38.6,"100.275255357","94.431755179",33.6,52.6,"57"
"Rodríguez, Julio","677594","2022","560","145","89","25","3","28",25.9,7.1,".284",".509",".345","0.854","25","289","84",,".254",".460",".366",".337",".319","92","10.1",32.7,"48",13.1,50.7,"103.718795769","96.379006446",30.4,50.2,"367"
"Beer, Seth","666179","2022","126","21","17","3","0","1",24.6,8.7,".189",".243",".278","0.521","0","56","4",,".215",".315",".239",".276",".302","85.9","10.7",33.3,"3",3.7,29.6,"97.17208925","92.66727557",28.7,47.5,"81"
"Maile, Luke","571912","2022","206","40","27","10","0","3",26.2,9.2,".221",".326",".301","0.627","0","88","19",,".194",".301",".281",".263",".278","84.5","17",33.8,"7",5.4,25.4,"95.943675231","91.987641385",27.6,44.9,"130"
"Soto, Juan","665742","2022","664","127","73","25","2","27",14.5,20.3,".242",".452",".401","0.853","6","164","93",,".266",".501",".376",".401",".420","91","9.1",28.5,"53",12.4,47.4,"102.236934112","95.653888852",19.2,35.5,"428"
"Williams, Luke","663897","2022","136","30","23","5","1","1",32.4,6.6,".236",".315",".287","0.602","11","73","21",,".198",".272",".265",".233",".251","83.3","16.7",36.1,"3",3.6,22.9,"94.44903675","91.478494625",29.9,50.7,"83"
"Castillo, Diego","660636","2022","283","54","30","13","0","11",26.5,4.9,".206",".382",".251","0.633","1","121","28",,".224",".389",".272",".292",".273","89.1","14.6",37.7,"19",9.9,38.7,"98.736440729","93.490571675",26.7,43.7,"191"
"Crawford, Brandon","543063","2022","458","94","68","15","2","9",21.4,8.5,".231",".344",".308","0.652","1","247","50",,".217",".339",".289",".287",".300","88.1","12.3",31,"21",6.7,35.1,"97.909462452","93.081156699",31.8,50.7,"313"
"Iglesias, Jose","578428","2022","467","128","95","30","0","3",12,3.6,".292",".380",".328","0.708","2","95","48",,".266",".323",".312",".281",".304","83.8","6",30.6,"2",0.5,27.7,"95.592199372","91.820181257",13.2,51.9,"386"
"Alvarez, Yordan","670541","2022","561","144","76","29","2","37",18.9,13.9,".306",".613",".406","1.019","1","180","95",,".329",".672",".427",".462",".430","95.2","12.3",40.7,"78",21,59.8,"105.676985081","98.195923324",23.4,42.7,"371"
"Duvall, Adam","594807","2022","315","61","32","16","1","12",32.1,6.7,".213",".401",".276","0.677","0","153","39",,".209",".395",".295",".293",".274","88.3","23.4",36.2,"24",12.8,41,"100.566076596","94.3357175",29.2,50.5,"188"
"Castro, Harold","605612","2022","443","114","84","21","2","7",17.8,3.8,".271",".381",".300","0.681","0","144","37",,".275",".423",".297",".316",".305","87","11.4",41.6,"21",6.1,33.3,"97.109259586","92.622759201",19.8,53.7,"346"
"Daza, Yonathan","602074","2022","408","112","87","21","2","2",14.2,6.4,".301",".384",".349","0.733","0","131","56",,".282",".351",".323",".308",".333","84.8","4.6",34.1,"6",1.9,25,"95.180250189","91.627182587",18.7,50.5,"320"
"Kreidler, Ryan","668952","2022","84","13","11","1","0","1",26.2,7.1,".178",".233",".244","0.477","0","47","8",,".211",".340",".218",".273",".276","88.2","14.8",34.5,"4",7.3,32.7,"96.201781111","92.261975094",27.6,49.2,"55"
"Bote, David","623520","2022","127","30","18","8","0","4",35.4,4.7,".259",".431",".315","0.746","1","69","15",,".229",".351",".325",".287",".290","92.4","7.9",34.7,"5",6.9,55.6,"102.8376175","96.457184366",33.5,44.7,"72"
"Joe, Connor","656582","2022","467","96","65","20","4","7",20.8,11.8,".238",".359",".338","0.697","6","135","56",,".241",".340",".314",".311",".342","85.3","10.6",35.1,"14",4.5,33.8,"97.624297516","92.833330754",21.2,40.4,"308"
"Fortes, Nick","663743","2022","240","50","34","6","1","9",18.8,7.5,".230",".392",".304","0.696","5","76","41",,".249",".398",".308",".319",".322","89.3","15.4",30.2,"12",7,37.8,"99.460571882","93.908283529",22.9,44.7,"172"
"Heyward, Jason","518792","2022","151","28","21","5","1","1",21.2,7.3,".204",".277",".278","0.555","1","56","15",,".218",".322",".253",".278",".290","87.6","13.1",26.7,"5",4.8,38.1,"99.795272642","93.960513048",27.8,48.4,"105"
"Clemens, Kody","665019","2022","127","17","8","4","0","5",26,6.3,".145",".308",".197","0.505","1","61","13",,".193",".325",".220",".249",".242","89.4","17.4",26.7,"5",5.8,37.2,"98.286138605","93.203562907",27.4,53,"86"
"Slater, Austin","596103","2022","325","73","49","15","2","7",27.4,12.3,".264",".408",".366","0.774","12","161","49",,".259",".429",".344",".351",".363","89","6.6",43.2,"20",10.5,39.5,"99.908713548","94.170847514",31.2,45.2,"190"
"Huff, Sam","669087","2022","132","29","21","4","0","4",31.8,8.3,".240",".372",".303","0.675","1","95","9",,".226",".385",".296",".294",".290","88.9","9.7",35.4,"8",10.1,36.7,"99.99883625","94.152076329",39,53.3,"79"
"Tucker, Kyle","663656","2022","609","140","81","28","1","30",15.6,9.7,".257",".478",".330","0.808","25","214","71",,".262",".482",".348",".353",".336","90","19",34.4,"46",10.2,42.4,"100.332560357","94.468288036",19.9,52.7,"451"
"Reynolds, Bryan","668804","2022","614","142","92","19","4","27",23,9.1,".262",".461",".345","0.806","7","287","74",,".249",".416",".349",".329",".334","90.2","12",35.5,"32",7.9,42.9,"100.882578564","94.722792556",27.7,50.4,"403"
"Mullins II, Cedric","656775","2022","672","157","105","32","4","16",18.8,7,".258",".403",".318","0.721","34","227","89",,".232",".349",".315",".288",".297","88.8","17.4",29.3,"24",4.9,37.3,"98.895231356","93.569582691",22.2,51.3,"488"
"Herrera, Odúbel","546318","2022","197","44","29","9","1","5",21.3,5.6,".238",".378",".279","0.657","6","71","23",,".225",".348",".287",".272",".268","86.9","4",24.3,"7",4.9,37.5,"99.933778143","94.012093741",24,52.6,"144"
"Call, Alex","669743","2022","131","27","18","3","1","5",22.9,11.5,".237",".412",".336","0.748","3","57","18",,".212",".294",".332",".281",".314","86.3","18.4",29.8,"1",1.2,31,"96.200864048","92.155563976",24.8,44.6,"84"
"Schoop, Jonathan","570731","2022","510","97","62","23","1","11",21,3.7,".202",".322",".239","0.561","5","241","48",,".228",".338",".245",".268",".267","87","9.7",29.1,"18",4.8,38.6,"99.967628556","93.993791257",28.2,55.5,"378"
"Story, Trevor","596115","2022","396","85","47","22","0","16",30.8,8.1,".238",".434",".303","0.737","13","200","53",,".221",".397",".316",".301",".290","88.9","17.8",36,"27",11.3,40.6,"100.613635333","94.400984812",30.8,49.8,"239"
"Rizzo, Anthony","519203","2022","548","104","50","21","1","32",18.4,10.6,".224",".480",".338","0.818","6","193","77",,".239",".454",".352",".349",".350","89.4","19.3",34.2,"40",10.9,41,"99.618112951","94.120579288",22.8,46.1,"366"
"Alberto, Hanser","593643","2022","159","38","25","9","2","2",15.7,1.9,".244",".365",".258","0.623","0","73","13",,".216",".304",".270",".234",".231","82.9","10.8",30.5,"2",1.5,18.3,"93.791635156","91.008477165",25.5,61.6,"131"
"Wade, Tyler","642180","2022","163","32","26","5","0","1",20.2,6.1,".218",".272",".272","0.544","8","39","22",,".212",".278",".247",".248",".267","83.9","11.5",37,"2",1.7,16,"93.738133673","91.012158454",18.9,47.1,"119"
"Madris, Bligh","676632","2022","123","20","12","7","0","1",25.2,8.1,".177",".265",".244","0.509","2","58","10",,".211",".309",".231",".262",".275","88.9","10.5",30.5,"4",4.9,41.5,"99.381132683","94.178952099",26.8,46.3,"82"
"Canó, Robinson","429664","2022","104","15","13","1","0","1",24,3.8,".150",".190",".183","0.373","0","44","5",,".209",".299",".169",".237",".239","88.2","5.8",29.3,"3",4,41.3,"100.261988108","94.247323243",24.9,56.8,"75"
"Mateo, Jorge","622761","2022","533","109","64","25","7","13",27.6,5.1,".221",".379",".267","0.646","35","287","63",,".222",".344",".281",".272",".269","86.8","14.8",35.5,"21",6,32.7,"98.63578407","93.337279593",30.9,53.9,"352"
"Vázquez, Christian","543877","2022","426","109","77","23","0","9",16.2,5.2,".274",".399",".315","0.714","1","112","41",,".262",".375",".312",".301",".306","87.9","10.7",36.1,"17",5.1,36.4,"97.833724337","92.999999849",17.2,49.2,"332"
"Votto, Joey","458015","2022","376","66","36","18","1","11",25.8,11.7,".205",".370",".319","0.689","0","181","31",,".218",".390",".310",".322",".331","89.7","14.2",32.9,"25",11.1,41.3,"100.424827857","94.43276435",29.6,46.5,"225"
"Grossman, Robbie","543257","2022","477","86","59","19","1","7",27,11.7,".209",".311",".310","0.621","6","164","40",,".205",".305",".283",".281",".307","86.7","21.1",38.5,"10",3.5,30.4,"96.176090559","92.129787754",23.9,40.9,"286"
"Romine, Austin","519222","2022","136","20","14","3","0","3",33.8,2.9,".155",".248",".187","0.435","0","81","10",,".159",".248",".193",".195",".190","87.2","9.5",22.4,"4",4.7,33.3,"98.519493659","93.285298415",33.5,53.9,"85"
"Cruz Jr., Nelson","443558","2022","507","105","79","16","0","10",23.5,9.7,".234",".337",".313","0.650","4","290","50",,".241",".399",".292",".320",".323","90.9","7.2",28,"31",9.3,46.1,"102.29838061","95.468978262",32,50.8,"332"
"Escobar, Eduardo","500871","2022","542","119","69","26","4","20",23.8,7.4,".240",".430",".295","0.725","0","249","58",,".243",".427",".311",".314",".300","88.3","20.6",38.7,"35",9.4,37.6,"99.290072903","93.799689784",27.7,52.4,"372"
"McKenna, Ryan","663630","2022","172","37","25","10","0","2",32,6.4,".237",".340",".294","0.634","2","93","23",,".210",".334",".279",".267",".271","86.7","15.4",37.5,"10",9.6,30.1,"97.3643112","92.729450101",35,52.6,"104"
"Jones, Nolan","666134","2022","94","21","14","5","0","2",33,8.5,".244",".372",".309","0.681","0","49","10",,".254",".436",".297",".325",".317","89.3","15.9",49.1,"8",14.5,49.1,"101.65603963","95.263844815",29.9,43.6,"55"
"Miller, Owen","680911","2022","472","103","70","26","1","6",19.7,6.8,".243",".351",".301","0.652","2","135","53",,".246",".341",".287",".291",".307","85.8","10.1",35,"12",3.5,31.2,"97.306117941","92.667096401",18.5,48,"340"
"Fairchild, Stuart","656413","2022","110","24","14","4","1","5",30.9,7.3,".247",".464",".336","0.800","0","63","14",,".221",".396",".350",".317",".313","88.9","13.3",31.7,"6",9.5,41.3,"99.364164194","93.906276721",35.8,48.2,"63"
"Ramírez, José","608070","2022","685","168","90","44","5","29",12,10.1,".280",".514",".355","0.869","20","159","90",,".255",".408",".363",".320",".337","87.7","20.7",33.7,"35",6.6,36.9,"98.871944811","93.503434175",15.1,46.3,"528"
"Yepez, Juan","660766","2022","274","64","39","13","0","12",22.3,5.8,".253",".447",".296","0.743","0","126","27",,".216",".394",".319",".286",".263","86.5","17.1",33.2,"18",9.2,33.7,"98.66909102","93.337373827",26.1,54.5,"196"
"Hedges, Austin","595978","2022","338","48","37","4","0","7",23.1,7.4,".163",".248",".241","0.489","2","141","26",,".180",".261",".225",".238",".257","84.2","16.7",31.9,"7",3.1,22.3,"94.912102385","91.52196977",27.1,47.6,"229"
"Kirk, Alejandro","672386","2022","541","134","101","19","0","14",10.7,11.6,".285",".415",".372","0.787","0","122","59",,".278",".431",".347",".351",".367","90.5","8.1",32,"28",6.7,45.4,"101.053304663","94.989537614",15.4,41,"416"
"Myers, Wil","571976","2022","286","68","46","15","0","7",30.1,7.3,".261",".398",".315","0.713","2","150","29",,".225",".373",".311",".288",".285","88.5","13",37.6,"13",7.3,37.6,"98.804888523","93.5431",31.2,45.3,"178"
"Smith, Will","669257","2022","578","132","79","26","3","24",16.6,9.7,".260",".465",".343","0.808","1","163","68",,".257",".473",".349",".352",".341","89.9","18.4",36.8,"43",10.3,43,"99.764565096","94.188464255",19.3,42.6,"416"
"Waters, Drew","671221","2022","109","23","11","6","1","5",36.7,11,".240",".479",".324","0.803","0","52","14",,".198",".379",".347",".296",".287","84.1","10.4",41.1,"7",12.5,28.6,"96.323792143","92.407147857",32.4,47.1,"56"
